trial,stage,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,lr
0,lr,0.19365502507652654,0.21122820923725763,0.8195444544156393,0.09986309458812077,nan,nan,nan,128.46234345436096,logs/tuning/packnet/2026-04-02_13-45-34-3557/runs/packnet/tuning_sweep_CIL_tune_000_lr-3em02-2026-04-02_13-45-34-3557-trial000/0,0.03
1,lr,0.135977446390422,0.1352378949522972,0.772688110669454,0.14382266998291016,nan,nan,nan,130.94282412528992,logs/tuning/packnet/2026-04-02_13-45-34-3557/runs/packnet/tuning_sweep_CIL_tune_001_lr-1em02-2026-04-02_13-45-34-3557-trial001/0,0.01
2,lr,0.12348879983226078,0.11680380006631215,0.7496012250582377,0.14580793182055155,nan,nan,nan,132.30647540092468,logs/tuning/packnet/2026-04-02_13-45-34-3557/runs/packnet/tuning_sweep_CIL_tune_002_lr-3em03-2026-04-02_13-45-34-3557-trial002/0,0.003
3,lr,0.11438923721795585,0.06656447518616915,0.6487442255020142,0.09598531449834506,nan,nan,nan,130.546049118042,logs/tuning/packnet/2026-04-02_13-45-34-3557/runs/packnet/tuning_sweep_CIL_tune_003_lr-1em03-2026-04-02_13-45-34-3557-trial003/0,0.001
4,lr,0.10822477381326805,0.05192112262981633,0.6004435817400614,0.041439056396484375,nan,nan,nan,130.78942942619324,logs/tuning/packnet/2026-04-02_13-45-34-3557/runs/packnet/tuning_sweep_CIL_tune_004_lr-3em04-2026-04-02_13-45-34-3557-trial004/0,0.0003
5,lr,0.1270205394593814,0.07214363540212314,0.6836853822072347,0.07065479705731074,nan,nan,nan,130.7095468044281,logs/tuning/packnet/2026-04-02_13-45-34-3557/runs/packnet/tuning_sweep_CIL_tune_005_lr-1em04-2026-04-02_13-45-34-3557-trial005/0,0.0001
6,lr,0.14793342067112786,0.10952177892128627,0.7495230833689371,0.08599325021107991,nan,nan,nan,130.6673882007599,logs/tuning/packnet/2026-04-02_13-45-34-3557/runs/packnet/tuning_sweep_CIL_tune_006_lr-3em05-2026-04-02_13-45-34-3557-trial006/0,3e-05
7,lr,0.15697314349423572,0.1368140826622645,0.7736879785855612,0.09920026361942291,nan,nan,nan,129.780903339386,logs/tuning/packnet/2026-04-02_13-45-34-3557/runs/packnet/tuning_sweep_CIL_tune_007_lr-1em05-2026-04-02_13-45-34-3557-trial007/0,1e-05
