trial,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,lr,memory_strength
22,0.02917790684752804,0.11682120710611343,0.5,1.0,nan,nan,nan,263.0622956752777,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_022_lr-3em03_memory_strength-100-2026-04-01_19-23-40-7936-trial022/0,0.003,100
23,0.03811898089013613,0.10104792689283688,0.5,1.0,nan,nan,nan,266.0354428291321,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_023_lr-3em03_memory_strength-500-2026-04-01_19-23-40-7936-trial023/0,0.003,500
24,0.10368692099438405,0.18188687662283579,0.49643423159917194,1.0,nan,nan,nan,265.59273171424866,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_024_lr-1em03_memory_strength-1em01-2026-04-01_19-23-40-7936-trial024/0,0.001,0.1
25,0.09518218728825972,0.14488486697276434,0.4995098014672597,1.0,nan,nan,nan,266.2446753978729,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_025_lr-1em03_memory_strength-5em01-2026-04-01_19-23-40-7936-trial025/0,0.001,0.5
26,0.0873698213593563,0.133350503941377,0.5,1.0,nan,nan,nan,221.24523997306824,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_026_lr-1em03_memory_strength-1-2026-04-01_19-23-40-7936-trial026/0,0.001,1
27,0.08055542488437546,0.14384113252162933,0.5,1.0,nan,nan,nan,219.27889561653137,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_027_lr-1em03_memory_strength-5-2026-04-01_19-23-40-7936-trial027/0,0.001,5
28,0.05782022170470502,0.10381736482183139,0.5,1.0,nan,nan,nan,218.5995066165924,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_028_lr-1em03_memory_strength-10-2026-04-01_19-23-40-7936-trial028/0,0.001,10
29,0.06624950926713438,0.11301053936282794,0.5,1.0,nan,nan,nan,217.86875128746033,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_029_lr-1em03_memory_strength-50-2026-04-01_19-23-40-7936-trial029/0,0.001,50
30,0.04537356559620548,0.09790903391937415,0.5,1.0,nan,nan,nan,219.11205172538757,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_030_lr-1em03_memory_strength-100-2026-04-01_19-23-40-7936-trial030/0,0.001,100
31,0.07658897724979834,0.1602250263094902,0.5,1.0,nan,nan,nan,215.86678290367126,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_031_lr-1em03_memory_strength-500-2026-04-01_19-23-40-7936-trial031/0,0.001,500
32,0.10094277470099099,0.19252275178829828,0.4917931954065959,1.0,nan,nan,nan,219.65429496765137,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_032_lr-3em04_memory_strength-1em01-2026-04-01_19-23-40-7936-trial032/0,0.0003,0.1
33,0.09352417883066629,0.1702315273384253,0.4975465734799703,1.0,nan,nan,nan,220.94272017478943,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_033_lr-3em04_memory_strength-5em01-2026-04-01_19-23-40-7936-trial033/0,0.0003,0.5
34,0.0919696504649879,0.15673252691825232,0.49891456961631775,1.0,nan,nan,nan,223.44847965240479,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_034_lr-3em04_memory_strength-1-2026-04-01_19-23-40-7936-trial034/0,0.0003,1
35,0.07738519611178839,0.11657582720120747,0.5,1.0,nan,nan,nan,222.1194384098053,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_035_lr-3em04_memory_strength-5-2026-04-01_19-23-40-7936-trial035/0,0.0003,5
36,0.0720963684199092,0.11173225194215775,0.5,1.0,nan,nan,nan,218.79351139068604,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_036_lr-3em04_memory_strength-10-2026-04-01_19-23-40-7936-trial036/0,0.0003,10
37,0.07726980574211356,0.14154276003440222,0.5,1.0,nan,nan,nan,217.6504020690918,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_037_lr-3em04_memory_strength-50-2026-04-01_19-23-40-7936-trial037/0,0.0003,50
38,0.0334250258366332,0.1221613697707653,0.5,1.0,nan,nan,nan,217.71987223625183,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_038_lr-3em04_memory_strength-100-2026-04-01_19-23-40-7936-trial038/0,0.0003,100
39,0.07162733540265957,0.156900305300951,0.5,1.0,nan,nan,nan,220.11246132850647,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_039_lr-3em04_memory_strength-500-2026-04-01_19-23-40-7936-trial039/0,0.0003,500
40,0.0686964837700322,0.14466004570325217,0.4816318452358246,0.999605397383372,nan,nan,nan,220.6862828731537,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_040_lr-1em04_memory_strength-1em01-2026-04-01_19-23-40-7936-trial040/0,0.0001,0.1
41,0.07826790669834328,0.1512569139401118,0.48926300803820294,0.999605397383372,nan,nan,nan,217.59983086585999,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_041_lr-1em04_memory_strength-5em01-2026-04-01_19-23-40-7936-trial041/0,0.0001,0.5
42,0.0834162280195664,0.14781476308902106,0.49177102247873944,0.999605397383372,nan,nan,nan,220.44209599494934,logs/tuning/gem/2026-04-01_19-23-40-7936/runs/gem/tuning_sweep_CIL_tune_042_lr-1em04_memory_strength-1-2026-04-01_19-23-40-7936-trial042/0,0.0001,1
