trial,stage,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,lr
0,lr,0.08028195798397064,0.08028195798397064,0.7790836691856384,0.12512877583503723,nan,nan,nan,98.38202977180481,logs/tuning/iid2/2026-04-02_14-03-05-3049/runs/iid2/test_uclresm-single-task_tune_000_lr-3em02-2026-04-02_14-03-05-3049-trial000/0,0.03
1,lr,0.08732026070356369,0.08732026070356369,0.7531583309173584,0.10798574239015579,nan,nan,nan,98.00377559661865,logs/tuning/iid2/2026-04-02_14-03-05-3049/runs/iid2/test_uclresm-single-task_tune_001_lr-1em02-2026-04-02_14-03-05-3049-trial001/0,0.01
2,lr,0.09206540882587433,0.09206540882587433,0.6878761649131775,0.10909289121627808,nan,nan,nan,98.99048089981079,logs/tuning/iid2/2026-04-02_14-03-05-3049/runs/iid2/test_uclresm-single-task_tune_002_lr-3em03-2026-04-02_14-03-05-3049-trial002/0,0.003
3,lr,0.09497597068548203,0.09497597068548203,0.7065669894218445,0.13470140099525452,nan,nan,nan,98.0571882724762,logs/tuning/iid2/2026-04-02_14-03-05-3049/runs/iid2/test_uclresm-single-task_tune_003_lr-1em03-2026-04-02_14-03-05-3049-trial003/0,0.001
4,lr,0.0780123695731163,0.0780123695731163,0.6654731035232544,0.11850602924823761,nan,nan,nan,97.53924417495728,logs/tuning/iid2/2026-04-02_14-03-05-3049/runs/iid2/test_uclresm-single-task_tune_004_lr-3em04-2026-04-02_14-03-05-3049-trial004/0,0.0003
5,lr,0.04965529218316078,0.04965529218316078,0.6519367098808289,0.11636734753847122,nan,nan,nan,97.79102182388306,logs/tuning/iid2/2026-04-02_14-03-05-3049/runs/iid2/test_uclresm-single-task_tune_005_lr-1em04-2026-04-02_14-03-05-3049-trial005/0,0.0001
6,lr,0.06275174021720886,0.06275174021720886,0.6905656456947327,0.3486865758895874,nan,nan,nan,96.96812796592712,logs/tuning/iid2/2026-04-02_14-03-05-3049/runs/iid2/test_uclresm-single-task_tune_006_lr-3em05-2026-04-02_14-03-05-3049-trial006/0,3e-05
7,lr,0.0704423114657402,0.0704423114657402,0.5052741169929504,0.9558813571929932,nan,nan,nan,101.23915338516235,logs/tuning/iid2/2026-04-02_14-03-05-3049/runs/iid2/test_uclresm-single-task_tune_007_lr-1em05-2026-04-02_14-03-05-3049-trial007/0,1e-05
