trial,val_mean,test_mean,duration_sec,log_dir,gamma,lr,smax
0,0.46470238268375397,nan,1102.3105285167694,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_000_gamma-1_lr-1em03_smax-25-2025-10-09_17-02-30-1159-trial000/0,1.0,0.001,25
1,0.4084523767232895,nan,1100.4730894565582,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_001_gamma-1_lr-1em03_smax-50-2025-10-09_17-02-30-1159-trial001/1,1.0,0.001,50
2,0.44261905550956726,nan,1100.6857810020447,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_002_gamma-1_lr-1em03_smax-100-2025-10-09_17-02-30-1159-trial002/2,1.0,0.001,100
3,0.6240476071834564,nan,1101.6623027324677,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_003_gamma-1_lr-1em02_smax-25-2025-10-09_17-02-30-1159-trial003/3,1.0,0.01,25
4,0.6360714435577393,nan,1101.316852092743,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_004_gamma-1_lr-1em02_smax-50-2025-10-09_17-02-30-1159-trial004/4,1.0,0.01,50
5,0.6128571331501007,nan,1101.326711654663,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_005_gamma-1_lr-1em02_smax-100-2025-10-09_17-02-30-1159-trial005/5,1.0,0.01,100
6,0.275357149541378,nan,1100.617648601532,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_006_gamma-1_lr-1em01_smax-25-2025-10-09_17-02-30-1159-trial006/6,1.0,0.1,25
7,0.44607142359018326,nan,1100.130960226059,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_007_gamma-1_lr-1em01_smax-50-2025-10-09_17-02-30-1159-trial007/7,1.0,0.1,50
8,0.42178571969270706,nan,1101.6036295890808,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_008_gamma-1_lr-1em01_smax-100-2025-10-09_17-02-30-1159-trial008/8,1.0,0.1,100
9,0.3692261874675751,nan,1101.109990119934,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_009_gamma-1p3_lr-1em03_smax-25-2025-10-09_17-02-30-1159-trial009/9,1.3,0.001,25
10,0.4142262041568756,nan,1102.2904150485992,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_010_gamma-1p3_lr-1em03_smax-50-2025-10-09_17-02-30-1159-trial010/10,1.3,0.001,50
11,0.45374999940395355,nan,1100.3577585220337,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_011_gamma-1p3_lr-1em03_smax-100-2025-10-09_17-02-30-1159-trial011/11,1.3,0.001,100
12,0.6297023892402649,nan,1101.0932099819183,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_012_gamma-1p3_lr-1em02_smax-25-2025-10-09_17-02-30-1159-trial012/12,1.3,0.01,25
13,0.6298214495182037,nan,1101.2757461071014,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_013_gamma-1p3_lr-1em02_smax-50-2025-10-09_17-02-30-1159-trial013/13,1.3,0.01,50
14,0.6215476095676422,nan,1100.2665095329285,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_014_gamma-1p3_lr-1em02_smax-100-2025-10-09_17-02-30-1159-trial014/14,1.3,0.01,100
15,0.29208333045244217,nan,1102.9516503810883,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_015_gamma-1p3_lr-1em01_smax-25-2025-10-09_17-02-30-1159-trial015/15,1.3,0.1,25
16,0.3594047501683235,nan,1103.000830411911,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_016_gamma-1p3_lr-1em01_smax-50-2025-10-09_17-02-30-1159-trial016/16,1.3,0.1,50
17,0.45285714417696,nan,1100.6595313549042,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_017_gamma-1p3_lr-1em01_smax-100-2025-10-09_17-02-30-1159-trial017/17,1.3,0.1,100
18,0.41113094985485077,nan,1100.7750515937805,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_018_gamma-1p8_lr-1em03_smax-25-2025-10-09_17-02-30-1159-trial018/18,1.8,0.001,25
19,0.48202380537986755,nan,1101.463606595993,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_019_gamma-1p8_lr-1em03_smax-50-2025-10-09_17-02-30-1159-trial019/19,1.8,0.001,50
20,0.4342857152223587,nan,1100.9079673290253,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_020_gamma-1p8_lr-1em03_smax-100-2025-10-09_17-02-30-1159-trial020/20,1.8,0.001,100
21,0.4858333468437195,nan,1100.1956791877747,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_021_gamma-1p8_lr-1em02_smax-25-2025-10-09_17-02-30-1159-trial021/21,1.8,0.01,25
22,0.5747619271278381,nan,1099.8327510356903,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_022_gamma-1p8_lr-1em02_smax-50-2025-10-09_17-02-30-1159-trial022/22,1.8,0.01,50
23,0.47041667997837067,nan,1102.8705945014954,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_023_gamma-1p8_lr-1em02_smax-100-2025-10-09_17-02-30-1159-trial023/23,1.8,0.01,100
24,0.3126785680651665,nan,1099.7760677337646,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_024_gamma-1p8_lr-1em01_smax-25-2025-10-09_17-02-30-1159-trial024/24,1.8,0.1,25
25,0.3908333256840706,nan,1102.93404006958,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_025_gamma-1p8_lr-1em01_smax-50-2025-10-09_17-02-30-1159-trial025/25,1.8,0.1,50
26,0.45922619849443436,nan,1101.0661551952362,logs/tuning/hat/2025-10-09_17-02-30-1159/runs/hat/hat_repo_basic_test_tune_026_gamma-1p8_lr-1em01_smax-100-2025-10-09_17-02-30-1159-trial026/26,1.8,0.1,100
