trial,stage,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,beta,lr,memory_strength
0,lr,0.07174760419215626,0.0020906819651524224,0.504224419593811,0.0,nan,nan,nan,165.52615666389465,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_000_lr-3em02-2026-04-02_14-16-24-3173-trial000/0,,0.03,
1,lr,0.069557183659906,0.0,0.5,0.0,nan,nan,nan,167.9519944190979,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_001_lr-1em02-2026-04-02_14-16-24-3173-trial001/0,,0.01,
2,lr,0.17081602210202065,0.1870368371407191,0.6621924241383871,0.24460081259409586,nan,nan,nan,165.69790649414062,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_002_lr-3em03-2026-04-02_14-16-24-3173-trial002/0,,0.003,
3,lr,0.2293239048807697,0.22114705542723337,0.7912468512852987,0.09296007951100667,nan,nan,nan,164.58950304985046,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_003_lr-1em03-2026-04-02_14-16-24-3173-trial003/0,,0.001,
4,lr,0.1547013429870998,0.14865539222955704,0.6242612401644388,0.23461122314135233,nan,nan,nan,166.02952098846436,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_004_lr-3em04-2026-04-02_14-16-24-3173-trial004/0,,0.0003,
5,lr,0.1154931694288932,0.20259078095356622,0.44542556007703143,0.9330266912778219,nan,nan,nan,165.5101718902588,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_005_lr-1em04-2026-04-02_14-16-24-3173-trial005/0,,0.0001,
6,lr,0.0862644651296476,0.14538428063193956,0.4814767638842265,1.0,nan,nan,nan,166.32330679893494,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_006_lr-3em05-2026-04-02_14-16-24-3173-trial006/0,,3e-05,
7,lr,0.08559223175495828,0.13995599001646042,0.4801306625207265,0.9997594952583313,nan,nan,nan,165.61439657211304,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_007_lr-1em05-2026-04-02_14-16-24-3173-trial007/0,,1e-05,
8,memory_strength,0.2293239048807697,0.22114705542723337,0.7912468512852987,0.09296007951100667,nan,nan,nan,165.06001472473145,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_008_memory_strength-1-2026-04-02_14-16-24-3173-trial008/0,,0.001,1
9,memory_strength,0.22701247077266737,0.2114821175734202,0.805613656838735,0.11163477599620819,nan,nan,nan,166.25209879875183,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_009_memory_strength-10-2026-04-02_14-16-24-3173-trial009/0,,0.001,10
10,memory_strength,0.07472012732101248,0.018442799647649128,0.5215969085693359,0.03032730519771576,nan,nan,nan,167.11260890960693,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_010_memory_strength-100-2026-04-02_14-16-24-3173-trial010/0,,0.001,100
11,memory_strength,0.05705626442859967,0.18692374477783838,0.4988505740960439,1.0,nan,nan,nan,165.68926072120667,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_011_memory_strength-1000-2026-04-02_14-16-24-3173-trial011/0,,0.001,1000
12,memory_strength,0.011453100992583799,0.116541371991237,0.5,1.0,nan,nan,nan,167.47879886627197,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_012_memory_strength-10000-2026-04-02_14-16-24-3173-trial012/0,,0.001,10000
13,beta,0.14819710036516254,0.1372489631175995,0.6192583640416464,0.2588936885197957,nan,nan,nan,166.58748841285706,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_013_beta-3em01-2026-04-02_14-16-24-3173-trial013/0,0.3,0.001,1
14,beta,0.2293239048807697,0.22114705542723337,0.7912468512852987,0.09296007951100667,nan,nan,nan,166.16978406906128,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_014_beta-1-2026-04-02_14-16-24-3173-trial014/0,1.0,0.001,1
15,beta,0.16334664442577043,0.11426660628058016,0.6371589501698812,0.0,nan,nan,nan,167.49016547203064,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_015_beta-3-2026-04-02_14-16-24-3173-trial015/0,3.0,0.001,1
16,beta,0.07401305273608792,0.005184141919016838,0.5026194453239441,0.008245058357715607,nan,nan,nan,166.95365643501282,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_016_beta-10-2026-04-02_14-16-24-3173-trial016/0,10.0,0.001,1
17,beta,0.069557183659906,0.0,0.5,0.0,nan,nan,nan,166.0589587688446,logs/tuning/dual/2026-04-02_14-16-24-3173/runs/bcl_dual/tuning_sweep_CIL_tune_017_beta-30-2026-04-02_14-16-24-3173-trial017/0,30.0,0.001,1
