trial,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,lr
0,0.08594416535968424,0.20067459593216577,0.5,1.0,nan,nan,nan,128.78528237342834,logs/tuning/packnet/2026-04-01_18-55-44-0195/runs/packnet/tuning_sweep_CIL_tune_000_lr-3em02-2026-04-01_18-55-44-0195-trial000/0,0.03
1,0.10609149461793776,0.256513516108195,0.5,1.0,nan,nan,nan,131.62534427642822,logs/tuning/packnet/2026-04-01_18-55-44-0195/runs/packnet/tuning_sweep_CIL_tune_001_lr-1em02-2026-04-01_18-55-44-0195-trial001/0,0.01
2,0.07938678973553881,0.17321862280368805,0.5,1.0,nan,nan,nan,132.04033732414246,logs/tuning/packnet/2026-04-01_18-55-44-0195/runs/packnet/tuning_sweep_CIL_tune_002_lr-3em03-2026-04-01_18-55-44-0195-trial002/0,0.003
3,0.0799526366505032,0.153231929987669,0.49746206402778625,1.0,nan,nan,nan,131.25046610832214,logs/tuning/packnet/2026-04-01_18-55-44-0195/runs/packnet/tuning_sweep_CIL_tune_003_lr-1em03-2026-04-01_18-55-44-0195-trial003/0,0.001
4,0.04070571284101505,0.1171822299559911,0.5,1.0,nan,nan,nan,131.50375628471375,logs/tuning/packnet/2026-04-01_18-55-44-0195/runs/packnet/tuning_sweep_CIL_tune_004_lr-3em04-2026-04-01_18-55-44-0195-trial004/0,0.0003
5,0.04697220517804961,0.16416534781455994,0.5,1.0,nan,nan,nan,132.9934573173523,logs/tuning/packnet/2026-04-01_18-55-44-0195/runs/packnet/tuning_sweep_CIL_tune_005_lr-1em04-2026-04-01_18-55-44-0195-trial005/0,0.0001
6,0.03514160075703648,0.15474857141574225,0.5,1.0,nan,nan,nan,131.9506013393402,logs/tuning/packnet/2026-04-01_18-55-44-0195/runs/packnet/tuning_sweep_CIL_tune_006_lr-3em05-2026-04-01_18-55-44-0195-trial006/0,3e-05
7,0.037021634394256396,0.1544396976629893,0.5,1.0,nan,nan,nan,130.50479459762573,logs/tuning/packnet/2026-04-01_18-55-44-0195/runs/packnet/tuning_sweep_CIL_tune_007_lr-1em05-2026-04-01_18-55-44-0195-trial007/0,1e-05
