trial,stage,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,lr
0,lr,0.1218982727362768,0.12981765468915304,0.6977797945340475,0.261717826128006,nan,nan,nan,108.30014753341675,logs/tuning/er_ring/2026-04-02_15-22-03-7766/runs/er_ring/tuning_sweep_CIL_tune_000_lr-3em02-2026-04-02_15-22-03-7766-trial000/0,0.03
1,lr,0.18535279196557716,0.14973032474517822,0.73855588833491,0.13155284027258554,nan,nan,nan,107.55474281311035,logs/tuning/er_ring/2026-04-02_15-22-03-7766/runs/er_ring/tuning_sweep_CIL_tune_001_lr-1em02-2026-04-02_15-22-03-7766-trial001/0,0.01
2,lr,0.16970160268915033,0.14263833810885748,0.7877262036005656,0.18981492022673288,nan,nan,nan,106.51966643333435,logs/tuning/er_ring/2026-04-02_15-22-03-7766/runs/er_ring/tuning_sweep_CIL_tune_002_lr-3em03-2026-04-02_15-22-03-7766-trial002/0,0.003
3,lr,0.16148596946450577,0.12782468646764755,0.7414631446202596,0.2483845353126526,nan,nan,nan,107.64296388626099,logs/tuning/er_ring/2026-04-02_15-22-03-7766/runs/er_ring/tuning_sweep_CIL_tune_003_lr-1em03-2026-04-02_15-22-03-7766-trial003/0,0.001
4,lr,0.1048176895686281,0.061851438134908676,0.6735182007153829,0.17401070396105447,nan,nan,nan,107.1215546131134,logs/tuning/er_ring/2026-04-02_15-22-03-7766/runs/er_ring/tuning_sweep_CIL_tune_004_lr-3em04-2026-04-02_15-22-03-7766-trial004/0,0.0003
5,lr,0.10395442336988836,0.05067372384170691,0.6055455406506857,0.07680725554625194,nan,nan,nan,106.84656143188477,logs/tuning/er_ring/2026-04-02_15-22-03-7766/runs/er_ring/tuning_sweep_CIL_tune_005_lr-1em04-2026-04-02_15-22-03-7766-trial005/0,0.0001
6,lr,0.10654144374008649,0.05392709063986937,0.6329675118128458,0.07611351956923802,nan,nan,nan,107.08099675178528,logs/tuning/er_ring/2026-04-02_15-22-03-7766/runs/er_ring/tuning_sweep_CIL_tune_006_lr-3em05-2026-04-02_15-22-03-7766-trial006/0,3e-05
7,lr,0.09979063235398335,0.09521113336086273,0.5715887347857157,0.6252750021715959,nan,nan,nan,107.00896573066711,logs/tuning/er_ring/2026-04-02_15-22-03-7766/runs/er_ring/tuning_sweep_CIL_tune_007_lr-1em05-2026-04-02_15-22-03-7766-trial007/0,1e-05
