trial,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,lr
0,0.11646983027458191,0.11646983027458191,0.5,1.0,nan,nan,nan,99.18853735923767,logs/tuning/iid2/2026-04-01_19-13-21-9863/runs/iid2/test_uclresm-single-task_tune_000_lr-3em02-2026-04-01_19-13-21-9863-trial000/0,0.03
1,0.10923948138952255,0.10923948138952255,0.5,1.0,nan,nan,nan,98.21742963790894,logs/tuning/iid2/2026-04-01_19-13-21-9863/runs/iid2/test_uclresm-single-task_tune_001_lr-1em02-2026-04-01_19-13-21-9863-trial001/0,0.01
2,0.10509943217039108,0.10509943217039108,0.5,1.0,nan,nan,nan,99.02902221679688,logs/tuning/iid2/2026-04-01_19-13-21-9863/runs/iid2/test_uclresm-single-task_tune_002_lr-3em03-2026-04-01_19-13-21-9863-trial002/0,0.003
3,0.10477001965045929,0.10477001965045929,0.5,1.0,nan,nan,nan,98.07463550567627,logs/tuning/iid2/2026-04-01_19-13-21-9863/runs/iid2/test_uclresm-single-task_tune_003_lr-1em03-2026-04-01_19-13-21-9863-trial003/0,0.001
4,0.09558439254760742,0.09558439254760742,0.5,1.0,nan,nan,nan,98.71726822853088,logs/tuning/iid2/2026-04-01_19-13-21-9863/runs/iid2/test_uclresm-single-task_tune_004_lr-3em04-2026-04-01_19-13-21-9863-trial004/0,0.0003
5,0.06804528087377548,0.06804528087377548,0.5,1.0,nan,nan,nan,98.45863485336304,logs/tuning/iid2/2026-04-01_19-13-21-9863/runs/iid2/test_uclresm-single-task_tune_005_lr-1em04-2026-04-01_19-13-21-9863-trial005/0,0.0001
6,0.07189730554819107,0.07189730554819107,0.5,1.0,nan,nan,nan,97.652174949646,logs/tuning/iid2/2026-04-01_19-13-21-9863/runs/iid2/test_uclresm-single-task_tune_006_lr-3em05-2026-04-01_19-13-21-9863-trial006/0,3e-05
7,0.07209014892578125,0.07209014892578125,0.49972009658813477,1.0,nan,nan,nan,101.89905571937561,logs/tuning/iid2/2026-04-01_19-13-21-9863/runs/iid2/test_uclresm-single-task_tune_007_lr-1em05-2026-04-01_19-13-21-9863-trial007/0,1e-05
