trial,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,lr
0,0.07294290895567376,0.1582819496591886,0.5,1.0,nan,nan,nan,204.48745226860046,logs/tuning/agem/2026-04-01_18-55-43-9815/runs/agem/tuning_sweep_CIL_tune_000_lr-3em02-2026-04-01_18-55-43-9815-trial000/0,0.03
1,0.14201926879514334,0.2558245485027631,0.4976971745491028,1.0,nan,nan,nan,200.89771676063538,logs/tuning/agem/2026-04-01_18-55-43-9815/runs/agem/tuning_sweep_CIL_tune_001_lr-1em02-2026-04-01_18-55-43-9815-trial001/0,0.01
2,0.11859538705120805,0.23349984486897787,0.49134798844655353,1.0,nan,nan,nan,201.85366892814636,logs/tuning/agem/2026-04-01_18-55-43-9815/runs/agem/tuning_sweep_CIL_tune_002_lr-3em03-2026-04-01_18-55-43-9815-trial002/0,0.003
3,0.11228580115410552,0.18645540376504263,0.4855055510997772,1.0,nan,nan,nan,200.32696199417114,logs/tuning/agem/2026-04-01_18-55-43-9815/runs/agem/tuning_sweep_CIL_tune_003_lr-1em03-2026-04-01_18-55-43-9815-trial003/0,0.001
4,0.07214777952322445,0.161065345009168,0.47939829031626385,1.0,nan,nan,nan,201.46838355064392,logs/tuning/agem/2026-04-01_18-55-43-9815/runs/agem/tuning_sweep_CIL_tune_004_lr-3em04-2026-04-01_18-55-43-9815-trial004/0,0.0003
5,0.06886762476899203,0.137723575035731,0.4785204827785492,0.9993105332056681,nan,nan,nan,216.02084875106812,logs/tuning/agem/2026-04-01_18-55-43-9815/runs/agem/tuning_sweep_CIL_tune_005_lr-1em04-2026-04-01_18-55-43-9815-trial005/0,0.0001
6,0.0694564383384446,0.11795846869548161,0.48082377513249713,0.9991476138432821,nan,nan,nan,222.4995698928833,logs/tuning/agem/2026-04-01_18-55-43-9815/runs/agem/tuning_sweep_CIL_tune_006_lr-3em05-2026-04-01_18-55-43-9815-trial006/0,3e-05
7,0.05924795644809988,0.16003588338692984,0.49583276112874347,0.9991200566291809,nan,nan,nan,222.4593641757965,logs/tuning/agem/2026-04-01_18-55-43-9815/runs/agem/tuning_sweep_CIL_tune_007_lr-1em05-2026-04-01_18-55-43-9815-trial007/0,1e-05
