trial,stage,score,val_mean,val_det_mean,val_pfa_mean,test_mean,test_det_mean,test_pfa_mean,duration_sec,log_dir,lr,si_c
0,lr,0.06611811542395887,0.1770098755757014,0.5,1.0,nan,nan,nan,91.05576157569885,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_000_lr-3em02-2026-04-02_12-18-28-8146-trial000/0,0.03,
1,lr,0.0820631029075047,0.19877695788939795,0.49940475821495056,1.0,nan,nan,nan,89.72521591186523,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_001_lr-1em02-2026-04-02_12-18-28-8146-trial001/0,0.01,
2,lr,0.05161426791056484,0.14611534774303436,0.5,1.0,nan,nan,nan,90.25516104698181,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_002_lr-3em03-2026-04-02_12-18-28-8146-trial002/0,0.003,
3,lr,0.08916574252277361,0.19565722097953162,0.49429161349932355,1.0,nan,nan,nan,89.4191255569458,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_003_lr-1em03-2026-04-02_12-18-28-8146-trial003/0,0.001,
4,lr,0.06411239358211343,0.16967699180046716,0.4871615966161092,1.0,nan,nan,nan,89.03639841079712,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_004_lr-3em04-2026-04-02_12-18-28-8146-trial004/0,0.0003,
5,lr,0.07177857204794623,0.14115024109681448,0.4844948450724284,0.99954221645991,nan,nan,nan,90.61809945106506,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_005_lr-1em04-2026-04-02_12-18-28-8146-trial005/0,0.0001,
6,lr,0.06957815718296831,0.11312369008858998,0.4798326889673869,0.9998417297999064,nan,nan,nan,89.77940893173218,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_006_lr-3em05-2026-04-02_12-18-28-8146-trial006/0,3e-05,
7,lr,0.071438105135451,0.13775434345006943,0.4864516854286194,0.9993364612261454,nan,nan,nan,89.85705828666687,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_007_lr-1em05-2026-04-02_12-18-28-8146-trial007/0,1e-05,
8,si_c,0.08916574252277361,0.19565722097953162,0.49429161349932355,1.0,nan,nan,nan,89.83486294746399,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_008_si_c-1em01-2026-04-02_12-18-28-8146-trial008/0,0.001,0.1
9,si_c,0.08934338374219981,0.19562419255574545,0.4936963717142741,1.0,nan,nan,nan,90.3295407295227,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_009_si_c-2em01-2026-04-02_12-18-28-8146-trial009/0,0.001,0.2
10,si_c,0.0894963419052356,0.1954350769519806,0.4925840198993683,1.0,nan,nan,nan,90.71559834480286,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_010_si_c-3em01-2026-04-02_12-18-28-8146-trial010/0,0.001,0.3
11,si_c,0.09064424104505157,0.19759907573461533,0.4931216537952423,1.0,nan,nan,nan,89.96878862380981,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_011_si_c-4em01-2026-04-02_12-18-28-8146-trial011/0,0.001,0.4
12,si_c,0.08929003261247591,0.19637585679690042,0.4922809402147929,1.0,nan,nan,nan,87.33331537246704,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_012_si_c-5em01-2026-04-02_12-18-28-8146-trial012/0,0.001,0.5
13,si_c,0.08900494114477626,0.1960003599524498,0.49198878804842633,1.0,nan,nan,nan,88.42997622489929,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_013_si_c-6em01-2026-04-02_12-18-28-8146-trial013/0,0.001,0.6
14,si_c,0.08907029831099234,0.19743544856707254,0.49250589807828266,1.0,nan,nan,nan,88.62380480766296,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_014_si_c-7em01-2026-04-02_12-18-28-8146-trial014/0,0.001,0.7
15,si_c,0.09045839046240785,0.19610504060983658,0.49146151542663574,1.0,nan,nan,nan,87.37129163742065,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_015_si_c-8em01-2026-04-02_12-18-28-8146-trial015/0,0.001,0.8
16,si_c,0.08977543152634078,0.19728349894285202,0.4931216537952423,1.0,nan,nan,nan,88.38779592514038,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_016_si_c-9em01-2026-04-02_12-18-28-8146-trial016/0,0.001,0.9
17,si_c,0.08887464828468762,0.19493440786997476,0.4919106562932332,1.0,nan,nan,nan,88.75219249725342,logs/tuning/si/2026-04-02_12-18-28-8146/runs/si/tuning_sweep_CIL_tune_017_si_c-1-2026-04-02_12-18-28-8146-trial017/0,0.001,1.0
