trial,val_mean,test_mean,duration_sec,log_dir,gamma,lr,smax
0,0.13595237955451012,nan,648.987654209137,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_000_gamma-1em01_lr-1em05_smax-25-2025-10-09_13-25-45-0262-trial000/0,0.1,1e-05,25
1,0.21166666597127914,nan,528.8264553546906,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_001_gamma-1em01_lr-1em05_smax-50-2025-10-09_13-25-45-0262-trial001/1,0.1,1e-05,50
2,0.21321428567171097,nan,515.0179896354675,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_002_gamma-1em01_lr-1em05_smax-100-2025-10-09_13-25-45-0262-trial002/2,0.1,1e-05,100
3,0.27291665971279144,nan,666.8466007709503,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_003_gamma-1em01_lr-1em04_smax-25-2025-10-09_13-25-45-0262-trial003/3,0.1,0.0001,25
4,0.2849999964237213,nan,415.6071095466614,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_004_gamma-1em01_lr-1em04_smax-50-2025-10-09_13-25-45-0262-trial004/4,0.1,0.0001,50
5,0.27047617733478546,nan,414.25564074516296,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_005_gamma-1em01_lr-1em04_smax-100-2025-10-09_13-25-45-0262-trial005/5,0.1,0.0001,100
6,0.2990476191043854,nan,415.3420662879944,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_006_gamma-1em01_lr-1em03_smax-25-2025-10-09_13-25-45-0262-trial006/6,0.1,0.001,25
7,0.3333333283662796,nan,416.32403588294983,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_007_gamma-1em01_lr-1em03_smax-50-2025-10-09_13-25-45-0262-trial007/7,0.1,0.001,50
8,0.31089286506175995,nan,414.64469170570374,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_008_gamma-1em01_lr-1em03_smax-100-2025-10-09_13-25-45-0262-trial008/8,0.1,0.001,100
9,0.11077381037466694,nan,415.76664090156555,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_009_gamma-1p5_lr-1em05_smax-25-2025-10-09_13-25-45-0262-trial009/9,1.5,1e-05,25
10,0.2274404764175415,nan,411.7847821712494,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_010_gamma-1p5_lr-1em05_smax-50-2025-10-09_13-25-45-0262-trial010/10,1.5,1e-05,50
11,0.21142857521772385,nan,413.7526841163635,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_011_gamma-1p5_lr-1em05_smax-100-2025-10-09_13-25-45-0262-trial011/11,1.5,1e-05,100
12,0.2589880973100662,nan,414.124356508255,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_012_gamma-1p5_lr-1em04_smax-25-2025-10-09_13-25-45-0262-trial012/12,1.5,0.0001,25
13,0.27369046211242676,nan,410.76366662979126,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_013_gamma-1p5_lr-1em04_smax-50-2025-10-09_13-25-45-0262-trial013/13,1.5,0.0001,50
14,0.2737499922513962,nan,411.5174369812012,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_014_gamma-1p5_lr-1em04_smax-100-2025-10-09_13-25-45-0262-trial014/14,1.5,0.0001,100
15,0.2767261862754822,nan,414.63010120391846,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_015_gamma-1p5_lr-1em03_smax-25-2025-10-09_13-25-45-0262-trial015/15,1.5,0.001,25
16,0.3698214292526245,nan,412.4962532520294,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_016_gamma-1p5_lr-1em03_smax-50-2025-10-09_13-25-45-0262-trial016/16,1.5,0.001,50
17,0.32458333671092987,nan,416.11340260505676,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_017_gamma-1p5_lr-1em03_smax-100-2025-10-09_13-25-45-0262-trial017/17,1.5,0.001,100
18,0.19476190954446793,nan,415.1266779899597,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_018_gamma-2p5_lr-1em05_smax-25-2025-10-09_13-25-45-0262-trial018/18,2.5,1e-05,25
19,0.1719047613441944,nan,415.54838848114014,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_019_gamma-2p5_lr-1em05_smax-50-2025-10-09_13-25-45-0262-trial019/19,2.5,1e-05,50
20,0.2438095286488533,nan,416.0220956802368,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_020_gamma-2p5_lr-1em05_smax-100-2025-10-09_13-25-45-0262-trial020/20,2.5,1e-05,100
21,0.28285713493824005,nan,415.7315104007721,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_021_gamma-2p5_lr-1em04_smax-25-2025-10-09_13-25-45-0262-trial021/21,2.5,0.0001,25
22,0.2720238119363785,nan,408.36698627471924,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_022_gamma-2p5_lr-1em04_smax-50-2025-10-09_13-25-45-0262-trial022/22,2.5,0.0001,50
23,0.27494047582149506,nan,411.71989154815674,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_023_gamma-2p5_lr-1em04_smax-100-2025-10-09_13-25-45-0262-trial023/23,2.5,0.0001,100
24,0.3227380961179733,nan,410.5599956512451,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_024_gamma-2p5_lr-1em03_smax-25-2025-10-09_13-25-45-0262-trial024/24,2.5,0.001,25
25,0.36446429789066315,nan,408.51328682899475,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_025_gamma-2p5_lr-1em03_smax-50-2025-10-09_13-25-45-0262-trial025/25,2.5,0.001,50
26,0.35702380537986755,nan,409.70232224464417,logs/tuning/hat/2025-10-09_13-25-45-0262/runs/hat/hat_repo_basic_test_tune_026_gamma-2p5_lr-1em03_smax-100-2025-10-09_13-25-45-0262-trial026/26,2.5,0.001,100
